appFlowId,flowId,appId,rawEntity,rawData
1,1,com.agnitus.playfivelittlemonkeysbook,stats.unity3d.com,imei
2,2,co.touchlab.android.onesecondeveryday,data.flurry.com,aaid
3,3,co.touchlab.android.onesecondeveryday,data.flurry.com,androidid
4,4,beard.editor.hairstyle,graph.facebook.com,aaid
5,5,com.asmodeedigital.spotitduel,api.amplitude.com,aaid
6,6,com.asmodeedigital.spotitduel,stats.unity3d.com,androidid
7,7,com.asmodeedigital.spotitduel,app.adjust.com,aaid
8,8,com.asmodeedigital.spotitduel,impact.applifier.com,aaid
9,4,com.asmodeedigital.spotitduel,graph.facebook.com,aaid
10,9,com.thetransitapp.droid,api.amplitude.com,geolatlon
11,5,com.thetransitapp.droid,api.amplitude.com,aaid
12,10,com.thetransitapp.droid,api.amplitude.com,androidid
13,4,com.thetransitapp.droid,graph.facebook.com,aaid
14,11,com.thetransitapp.droid,settings.crashlytics.com,aaid
15,12,com.thetransitapp.droid,settings.crashlytics.com,androidid
16,13,app.horsevip.mcqcarligpuzz,req.startappservice.com,routerssid
17,14,app.horsevip.mcqcarligpuzz,req.startappservice.com,routermac
18,15,app.horsevip.mcqcarligpuzz,req.startappservice.com,aaid
19,16,app.horsevip.mcqcarligpuzz,control.kochava.com,aaid
20,15,app.horsevip.mcqcarligpuzz,click.startappservice.com,aaid
21,13,app.horsevip.mcqcarligpuzz,events.startappservice.com,routerssid
22,14,app.horsevip.mcqcarligpuzz,events.startappservice.com,routermac
23,15,app.horsevip.mcqcarligpuzz,events.startappservice.com,aaid
24,13,app.horsevip.mcqcarligpuzz,init.startappexchange.com,routerssid
25,14,app.horsevip.mcqcarligpuzz,init.startappexchange.com,routermac
26,17,app.horsevip.mcqcarligpuzz,app.appsflyer.com,aaid
27,13,app.horsevip.mcqcarligpuzz,infoevent.startappservice.com,routerssid
28,14,app.horsevip.mcqcarligpuzz,infoevent.startappservice.com,routermac
29,15,app.horsevip.mcqcarligpuzz,infoevent.startappservice.com,aaid
30,15,app.horsevip.mcqcarligpuzz,imp.startappservice.com,aaid
31,11,crc.carsapp.la,settings.crashlytics.com,aaid
32,12,crc.carsapp.la,settings.crashlytics.com,androidid
33,18,com.mp.superherowaterslideuphillrush,api.uca.cloud.unity3d.com,aaid
34,6,com.mp.superherowaterslideuphillrush,api.uca.cloud.unity3d.com,androidid
35,6,com.mp.superherowaterslideuphillrush,cdp.cloud.unity3d.com,androidid
36,18,com.mp.superherowaterslideuphillrush,auction.unityads.unity3d.com,aaid
37,8,com.mp.superherowaterslideuphillrush,impact.applifier.com,aaid
38,6,com.mp.superherowaterslideuphillrush,config.uca.cloud.unity3d.com,androidid
39,4,com.letsfungame.farmharvestpop,graph.facebook.com,aaid
40,17,com.jet.jet.app,t.appsflyer.com,aaid
41,17,com.jet.jet.app,stats.appsflyer.com,aaid
42,11,com.jet.jet.app,settings.crashlytics.com,aaid
43,12,com.jet.jet.app,settings.crashlytics.com,androidid
44,19,com.wColoriageUndertale_6139042,adstracker.appsgeyser.com,aaid
45,20,com.wColoriageUndertale_6139042,pagead2.googlesyndication.com,aaid
46,20,com.wColoriageUndertale_6139042,tpc.googlesyndication.com,aaid
47,21,com.reststudio.carracer,rt.applovin.com,aaid
48,1,com.reststudio.carracer,stats.unity3d.com,imei
49,18,com.funfort.pottery.making.shop,adserver.unityads.unity3d.com,aaid
50,6,com.funfort.pottery.making.shop,stats.unity3d.com,androidid
51,17,ipnossoft.rma.free,t.appsflyer.com,aaid
52,5,ipnossoft.rma.free,api.amplitude.com,aaid
53,2,ipnossoft.rma.free,data.flurry.com,aaid
54,3,ipnossoft.rma.free,data.flurry.com,androidid
55,11,ipnossoft.rma.free,settings.crashlytics.com,aaid
56,12,ipnossoft.rma.free,settings.crashlytics.com,androidid
57,22,ipnossoft.rma.free,ads.mopub.com,aaid
58,11,au.com.ozsale,settings.crashlytics.com,aaid
59,12,au.com.ozsale,settings.crashlytics.com,androidid
60,23,com.ingeniooz.hercule,www.googleadservices.com,aaid
61,11,com.superplanet.videogameguardians,settings.crashlytics.com,aaid
62,12,com.superplanet.videogameguardians,settings.crashlytics.com,androidid
63,6,com.superplanet.videogameguardians,config.uca.cloud.unity3d.com,androidid
64,24,com.google.android.apps.walletnfcrel,notifications-pa.googleapis.com,imei
65,25,com.google.android.apps.walletnfcrel,notifications-pa.googleapis.com,phone
66,26,com.google.android.apps.walletnfcrel,notifications-pa.googleapis.com,hwid
67,27,com.google.android.apps.walletnfcrel,notifications-pa.googleapis.com,email
68,28,com.google.android.apps.walletnfcrel,clients5.google.com,androidid
69,29,com.apnax.wordsnack.hu,ws.tapjoyads.com,aaid
70,30,com.apnax.wordsnack.hu,ws.tapjoyads.com,androidid
71,29,com.apnax.wordsnack.hu,placements.tapjoy.com,aaid
72,30,com.apnax.wordsnack.hu,placements.tapjoy.com,androidid
73,29,com.apnax.wordsnack.hu,rpc.tapjoy.com,aaid
74,30,com.apnax.wordsnack.hu,rpc.tapjoy.com,androidid
75,4,com.apnax.wordsnack.hu,graph.facebook.com,aaid
76,29,com.apnax.wordsnack.hu,connect.tapjoy.com,aaid
77,30,com.apnax.wordsnack.hu,connect.tapjoy.com,androidid
78,2,com.apnax.wordsnack.hu,data.flurry.com,aaid
79,3,com.apnax.wordsnack.hu,data.flurry.com,androidid
80,6,howto.draw.book.coloring.beyblade.gamesart,stats.unity3d.com,androidid
81,31,com.superdancer.fun,ad.aseugame.com,imei
82,19,com.superdancer.fun,ad.aseugame.com,aaid
83,28,com.superdancer.fun,ad.aseugame.com,androidid
84,32,com.superdancer.fun,events.appsflyer.com,imei
85,17,com.superdancer.fun,events.appsflyer.com,aaid
86,33,com.superdancer.fun,events.appsflyer.com,androidid
87,6,com.superdancer.fun,stats.unity3d.com,androidid
88,31,com.superdancer.fun,game.aseugame.com,imei
89,1,com.zimad.starcrusade,stats.unity3d.com,imei
90,18,com.zimad.starcrusade,stats.unity3d.com,aaid
91,6,com.programming.progressive.diagnoseapp,config.uca.cloud.unity3d.com,androidid
92,18,com.programming.progressive.diagnoseapp,cdp.cloud.unity3d.com,aaid
93,6,com.programming.progressive.diagnoseapp,cdp.cloud.unity3d.com,androidid
94,11,com.homey.app,settings.crashlytics.com,aaid
95,12,com.homey.app,settings.crashlytics.com,androidid
96,11,com.jeep.companion,settings.crashlytics.com,aaid
97,12,com.jeep.companion,settings.crashlytics.com,androidid
98,6,com.thomasroyer.lapetanqueV3,config.uca.cloud.unity3d.com,androidid
99,18,com.thomasroyer.lapetanqueV3,cdp.cloud.unity3d.com,aaid
100,6,com.thomasroyer.lapetanqueV3,cdp.cloud.unity3d.com,androidid
101,18,com.thomasroyer.lapetanqueV3,publisher-config.unityads.unity3d.com,aaid
102,18,com.thomasroyer.lapetanqueV3,auction.unityads.unity3d.com,aaid
103,34,com.nimblebit.tinytower,service.sponsorpay.com,aaid
104,35,com.nimblebit.tinytower,live.chartboost.com,aaid
105,36,com.nimblebit.tinytower,live.chartboost.com,androidid
106,2,com.nimblebit.tinytower,data.flurry.com,aaid
107,3,com.nimblebit.tinytower,data.flurry.com,androidid
108,21,com.nimblebit.tinytower,rt.applovin.com,aaid
109,37,com.nimblebit.tinytower,api.vungle.com,aaid
110,38,com.nimblebit.tinytower,androidads23.adcolony.com,aaid
111,39,com.nimblebit.tinytower,engine.fyber.com,aaid
112,18,com.nimblebit.tinytower,adserver.unityads.unity3d.com,aaid
113,40,com.nimblebit.tinytower,marketplace-android-b56.hyprmx.com,aaid
114,22,fr.apprize.plusoumoins,haggler-mopub775-us-e-ec2.liftoff.io,aaid
115,22,fr.apprize.plusoumoins,mpx.mopub.com,aaid
116,22,fr.apprize.plusoumoins,haggler-mopub826-us-e-ec2.liftoff.io,aaid
117,22,fr.apprize.plusoumoins,haggler-mopub777-us-e-ec2.liftoff.io,aaid
118,22,fr.apprize.plusoumoins,haggler-mopub792-us-e-ec2.liftoff.io,aaid
119,21,fr.apprize.plusoumoins,d.applovin.com,aaid
120,3,world.easysolution.pddcrossing,data.flurry.com,androidid
121,19,com.a25apps.HillClimber,climber.a25apps.com,aaid
122,28,com.a25apps.HillClimber,climber.a25apps.com,androidid
123,6,com.a25apps.HillClimber,config.uca.cloud.unity3d.com,androidid
124,6,com.a25apps.HillClimber,cdp.cloud.unity3d.com,androidid
125,18,com.a25apps.HillClimber,publisher-config.unityads.unity3d.com,aaid
126,6,com.a25apps.HillClimber,ecommerce.iap.unity3d.com,androidid
127,4,com.a25apps.HillClimber,graph.facebook.com,aaid
128,18,com.a25apps.HillClimber,auction.unityads.unity3d.com,aaid
129,11,biblical.names.with_meaning.AOUXGEBHJUDAEGLCF,settings.crashlytics.com,aaid
130,12,biblical.names.with_meaning.AOUXGEBHJUDAEGLCF,settings.crashlytics.com,androidid
131,41,com.impossible.tracks.real.race.games,ads.heyzap.com,aaid
132,18,com.impossible.tracks.real.race.games,adserver.unityads.unity3d.com,aaid
133,6,com.impossible.tracks.real.race.games,stats.unity3d.com,androidid
134,41,com.impossible.tracks.real.race.games,x.heyzap.com,aaid
135,41,com.impossible.tracks.real.race.games,med.heyzap.com,aaid
136,18,com.matchicardgames.beesweepernewmatch3games,adserver.unityads.unity3d.com,aaid
137,35,com.matchicardgames.beesweepernewmatch3games,live.chartboost.com,aaid
138,36,com.matchicardgames.beesweepernewmatch3games,live.chartboost.com,androidid
139,6,com.matchicardgames.beesweepernewmatch3games,config.uca.cloud.unity3d.com,androidid
140,21,com.matchicardgames.beesweepernewmatch3games,rt.applovin.com,aaid
141,21,com.matchicardgames.beesweepernewmatch3games,d.applovin.com,aaid
142,6,com.matchicardgames.beesweepernewmatch3games,api.uca.cloud.unity3d.com,androidid
143,42,com.mystylinglounge.android_messyprincess,analytics.mopub.com,geolatlon
144,22,com.mystylinglounge.android_messyprincess,analytics.mopub.com,aaid
145,35,com.mystylinglounge.android_messyprincess,live.chartboost.com,aaid
146,36,com.mystylinglounge.android_messyprincess,live.chartboost.com,androidid
147,2,com.mystylinglounge.android_messyprincess,data.flurry.com,aaid
148,3,com.mystylinglounge.android_messyprincess,data.flurry.com,androidid
149,28,desi.freechat,config.e-droid.net,androidid
150,4,batterydoctor.batterycharger.fastcharging,graph.facebook.com,aaid
151,6,com.nightboost.kids.animals.lite,config.uca.cloud.unity3d.com,androidid
152,6,com.nightboost.kids.animals.lite,stats.unity3d.com,androidid
153,6,com.superadventuregames.candyfestival.free,config.uca.cloud.unity3d.com,androidid
154,18,com.superadventuregames.candyfestival.free,adserver.unityads.unity3d.com,aaid
155,18,com.superadventuregames.candyfestival.free,api.uca.cloud.unity3d.com,aaid
156,6,com.superadventuregames.candyfestival.free,api.uca.cloud.unity3d.com,androidid
157,4,com.beyondmenu,graph.facebook.com,aaid
158,43,com.beyondmenu,api.branch.io,aaid
159,44,com.beyondmenu,api.branch.io,androidid
160,11,com.beyondmenu,settings.crashlytics.com,aaid
161,12,com.beyondmenu,settings.crashlytics.com,androidid
162,45,au.com.suncorp.SuncorpBank,mobilebanking.suncorpbank.com.au,geolatlon
163,28,au.com.suncorp.SuncorpBank,mobilebanking.suncorpbank.com.au,androidid
164,45,au.com.suncorp.SuncorpBank,servicelocator.suncorpbank.com.au,geolatlon
165,18,com.desirepk.Tanks.Machines.wars.games.apps,stats.unity3d.com,aaid
166,6,com.desirepk.Tanks.Machines.wars.games.apps,stats.unity3d.com,androidid
167,15,com.desirepk.Tanks.Machines.wars.games.apps,init.startappexchange.com,aaid
168,15,com.desirepk.Tanks.Machines.wars.games.apps,req.startappservice.com,aaid
169,17,jurassic.survival.craft.z,t.appsflyer.com,aaid
170,21,jurassic.survival.craft.z,a.applovin.com,aaid
171,6,jurassic.survival.craft.z,config.uca.cloud.unity3d.com,androidid
172,17,jurassic.survival.craft.z,register.appsflyer.com,aaid
173,18,jurassic.survival.craft.z,cdp.cloud.unity3d.com,aaid
174,6,jurassic.survival.craft.z,cdp.cloud.unity3d.com,androidid
175,45,com.logos.androidlogos,proclaimservices.logos.com,geolatlon
176,9,com.logos.androidlogos,api.amplitude.com,geolatlon
177,5,com.logos.androidlogos,api.amplitude.com,aaid
178,23,com.logos.androidlogos,www.googleadservices.com,aaid
179,41,sk.inlogic.rollthatball,x.heyzap.com,aaid
180,41,sk.inlogic.rollthatball,ads.heyzap.com,aaid
181,41,sk.inlogic.rollthatball,med.heyzap.com,aaid
182,18,sk.inlogic.rollthatball,httpkafka.unityads.unity3d.com,aaid
183,18,sk.inlogic.rollthatball,auction.unityads.unity3d.com,aaid
184,6,sk.inlogic.rollthatball,stats.unity3d.com,androidid
185,6,com.igt.armarketing,stats.unity3d.com,androidid
