packageName,flowEntity,flowData,policyEntity,policyAction,policyData,policySentences,consistencyResult,entityVagueness,entityVaguenessRaw,dataVagueness,dataVaguenessRaw,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences
ipnossoft.rma.free,amplitude,advertising identifier,third party,collect,pii,"Do we share my personal data with third-parties?||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",vague,0.6666666666666666,2,0.5,2,,,,,
ipnossoft.rma.free,flurry,advertising identifier,third party,collect,pii,"Do we share my personal data with third-parties?||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",vague,0.6666666666666666,2,0.5,2,,,,,
ipnossoft.rma.free,flurry,android id,third party,collect,pii,"Do we share my personal data with third-parties?||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",vague,0.6666666666666666,2,0.5,2,,,,,
ipnossoft.rma.free,crashlytics,advertising identifier,third party,collect,pii,"Do we share my personal data with third-parties?||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",vague,0.6666666666666666,2,0.5,2,,,,,
ipnossoft.rma.free,crashlytics,android id,third party,collect,pii,"Do we share my personal data with third-parties?||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",vague,0.6666666666666666,2,0.5,2,,,,,
ipnossoft.rma.free,mopub,advertising identifier,third party,collect,pii,"Do we share my personal data with third-parties?||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",vague,0.6666666666666666,2,0.5,2,,,,,
au.com.ozsale,crashlytics,advertising identifier,third party,collect,pii,"We may disclose your personal information to cloud-providers, contractors and other third parties located inside or outside of Australia and New Zealand.",vague,0.6666666666666666,2,0.5,2,,,,,
au.com.ozsale,crashlytics,android id,third party,collect,pii,"We may disclose your personal information to cloud-providers, contractors and other third parties located inside or outside of Australia and New Zealand.",vague,0.6666666666666666,2,0.5,2,,,,,
com.ingeniooz.hercule,google ads,advertising identifier,,,,,omitted,,,,,,,,,
com.superplanet.videogameguardians,crashlytics,advertising identifier,third party,collect,device identifier,"The third parties may receive the following information: internet Protocol Address, Device ID, Browser type",vague,0.6666666666666666,2,0.25,1,,,,,
